courseNumber,description
BIEN001,"1 unit, colloquium, 1 hour. colloquia on current topics in bioengineering and other related fields delivered at an introductory level. presented by faculty members, visiting scientists, or individuals with industrial bioengineering experience. graded satisfactory (s) or no credit (nc)."
BIEN101,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s):biol 005a; chem 008a and chem 08la or chem 08ha and chem 08hla; math 046. provides bioengineering students with an in-depth experience in applying mathematical modeling and simulation methods to understand the dynamics of biochemical systems. prepares for designing new applications of genetic engineering."
BIEN110,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): chem 001c or chem 01hc; cs 010a; math 010a; phys 040b or phys 040hb. introduces the motion, structure, and function of the musculoskeletal system, the cardiovascular system, and the pulmonary system. topics include applied statics, kinematics, and dynamics of these systems and the mechanics of various tissues (ligament, bone, heart, blood vessels, lung). emphasizes the relation between function and material properties of these tissues."
BIEN135,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bien 101, math 10b, math 046, phys 040c or phys 040hc. an introduction to the application of thermodynamic principles to understanding the behavior of biological systems. discusses biophysical properties of biomacromolecules such as proteins, polynucleotides, carbohydrates, and lipids, as well as the methods of characterizing their properties and interactions."
BIEN190,"1 to 5 units, individual study, 3 to 15 hours prerequisite(s): upper-division standing; consent of instructor and department chair. provides individual study to meet special curricular needs. course is repeatable to a maximum of 9 units."
BIEN201,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): math 146a; or equivalent; first-year standing in the graduate program in bioengineering. for bien 201 online section: enrollment in the online masters-in-science in engineering program;  graduate standing. provides a fundamental grounding in applied mathematics to determine solutions to problems such as biotransport and bioreaction kinetics. topics include solutions to linear differential equations, analytical methods for partial differential equations, similarity transforms and perturbation methods, regression techniques, and related error analysis."
BIEN269,"2 units, discussion, 1 hour; extra reading, 3 hours. prerequisite(s): graduate standing or consent of instructor. focuses on the applications of optical trapping methods to characterize the mechanical and electromechanical properties of biological cells and membranes, as well as to quantify molecular interactions.  also covers the use of optical probes for cellular and tissue imaging, as well as optical therapy. graded satisfactory (s) or no credit (nc). course is repeatable as content changes."
BIEN302,"1 to 4 units, practicum 3 to 12, prerequisite(s): graduate standing; appointment as a teaching assistant or associate in bioengineering provides supervised teaching in undergraduate courses. graded satisfactory (s) or no credit (nc)."
BIOL005A,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 05la with a grade of c- or better, may be taken concurrently or biol 020 with a grade of c- or better, may be taken concurrently; chem 001a with a grade of c- or better, may be taken concurrently, chem 01la with a grade of c- or better, may be taken concurrently or chem 01ha with a grade of c- or better, may be taken concurrently, chem 1hla with a grade of c- or better, may be taken concurrently or chem 002a with a grade of c- or better, may be taken concurrently, chem 02la with a grade of c- or better, may be taken concurrently. an intensive course designed to prepare for upper-division courses in cell and molecular biology. covers biochemical, structural, metabolic, and genetic aspects of cells. required for biology majors; recommended for science majors desiring an introduction to biology."
BIOL005B,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005a with a grade of c- or better; biol 05la with a grade of c- or better or biol 020 with a grade of c- or better; chem 001a, chem 01la or chem 01ha, chem 1hla or chem 002a, chem 02la; chem 001b, may be taken concurrently, chem 01lb, may be taken concurrently or chem 01hb, may be taken concurrently, chem 1hlb, may be taken concurrently or chem 002b, may be taken concurrently, chem 02lb, may be taken concurrently. an intensive course designed to prepare for upper-division courses in organismal biology. covers developmental biology, physiology, and regulation at the level of the organism. required for biology majors; recommended for science majors desiring an introduction to biology."
BIOL05LA,"1 unit, laboratory, 3 hours. prerequisite(s): biol 005a (may be taken concurrently); consent of instructor is required for students repeating the course. an introduction to laboratory exercises on fundamental principles of and techniques in cell and molecular biology. illustrates the experimental foundations of the topics covered in biol 005a. credit is awarded for only one of biol 020 or biol 05la."
BIOL119,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005c with a grade of c- or better; biol 102; chem 001c or chem 01hc; chem 008c or chem 08hc; chem 08lc or chem 08hlc; math 007b or math 009b or math 09hb; phys 002c or phys 02hc; phys 02lc or phys 02hlc; bch 100 or bch 100h or bch 110a or bch 110ha. an introduction to the science of genomics and bioinformatics.  includes genome sequencing; database techniques; structural, comparative, and evolutionary genomics; and microarray analysis."
BIOL157,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a, biol 005b, biol 005c, chem 001c or chem 01hc, chem 008c and chem 08lc or chem 08hc and chem 8hlc, math 007b or math 009b or math 09hb, bch 100 or bch 110a or bch 110ha, one course in statistics. surveys the biology of protozoan and helminth interactions with their human hosts."
BIOL171A,"4 units, lecture, 3 hours; laboratory, 3 hours. prerequisite(s): biol 005c; chem 001c or chem 01hc; chem 01lc or chem 1hlc; chem 008b or chem 08hb; chem 08lb or chem 08hlb; math 007b or math 009b or math 09hb; phys 002b or phys 02hb; phys 02lb or phys 02hlb. introduction to the structure of the human body using the an organ-systems approach. emphasizes an overview of the major elements of human anatomy, a brief introduction to function (i.e., physiology), and the relationships among organs and organ systems. labs provide hands-on identification of human anatomy."
BIOL190,"1 to 4 units, individual study, 3 to 12 hours. prerequisite(s): consent of instructor and departmental chairperson. to be taken as a means of meeting special curricular needs. grading basis to be selected in consultation with the instructor and departmental chairperson. course is repeatable."
BIOL201,"4 units, lecture, 3 hours; seminar, 1 hour. prerequisite(s): bch 110a or bch 110b or equivalent (may be taken concurrently); biol 102 or equivalent; biol 107a or equivalent; graduate standing. covers the structure and inheritance of genetic material, the regulation of gene expression at the cellular and molecular level including molecular mechanisms for regulation of gene transcription, posttranscriptional regulation at the level of messenger rna stability, processing, editing and translation, methods for gene mapping, and positional cloning. cross-listed with cmdb 201."
BIOL250,"1 to 2 units, seminar, 1 to 2 hours. prerequisite(s): graduate standing and consent of instructor. oral presentations and intensive small-group discussion of selected topics in the area of special competence of each staff member. course content will emphasize recent advances in the special topic area and will vary accordingly. graded satisfactory (s) or no credit (nc). may be repeated for credit."
BIOL301,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing. a program of weekly meetings and individual formative evaluations required of new biology teaching assistants. covers instructional methods and classroom/section activities most suitable for teaching biology. conducted by the ta development program. graded satisfactory (s) or no credit (nc)."
BMSC202,"3 units, lecture, 2 hours; discussion, 1 hour. prerequisite(s):  graduate standing;  or consent of instructor. discusses the molecular basis of disease emphasizing new developments and the broad application of approaches and techniques.   course is repeatable."
BLKS002,"4 units, lecture, 3 hours; activity, 2 hours; extra reading, 1 hour. engages critical appraisal of artistic forms, political organizing efforts, embodied praxis and resistance formations, and theoretical prisms that imagine and propose alternatives to antiblackness. examines black interventions through time and technologies focusing on transgender, queer, and feminist perspectives-building on what cedric robinson terms the black radical tradition."
BPSC109,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 102. introduction to mechanisms that cause a heritable change in phenotype without a change in the genetic code.  covers dna modifications, histone modifications, and noncoding rnas that influence the expression, maintenance, and inheritance of traits.  discusses impacts of epigenetics on multicellular life such as learning, memory, disease, and crosstalk with environments.     cross-listed with cbns 109."
BUS020,"4 units, lecture, 3 hours, discussion, 1 hour. prerequisite(s): none. a study of the concepts and techniques for measurement and communication of financial information. includes interpretation of financial statements."
BUS104,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): stat 008 or stat 010; or equivalents;  or consent of instructor. a survey of deterministic and probabilistic models for decision making. topics include linear programming and extensions, networks, dynamic programming, decision trees, queuing models, and simulation. explores the application of these models in decision making.     cross-listed with stat 104."
BUS111,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): bus 103. covers the marketing of services and ideas. focuses on marketing for service organizations such as hotels, hospitals, and banks. provides understanding of the broader role of service provision for both service firms and goods firms."
BUS112,"4 units, lecture, 3 hours; extra reading, 2 hours; activity, 1 hour. prerequisite(s): bus 103. provides a basic understanding of the general models of choice behavior as it relates to marketing decision making. emphasizes motivation, perceptions, learning, and social forces as they impact the choice process."
BUS117,"4 units, lecture, 3 hours; extra reading, 2 hours; activity, 1 hour. prerequisite(s): bus 103. covers the basic concepts and functions of advertising, sales promotion, and other communication tools in an integrated marketing communications framework."
BUS119,"4 units, lecture, 3 hours; individual study, 2 hours; extra reading, 1 hour. prerequisite(s): bus 103; or consent of instructor. examines marketing cases and develops data analytical skills for managerial decision making. utilizes statistical software to manage, display, and analyze marketing information including consumer survey, relationship management, scanner, and socioeconomic data. topics include attitude measurement, market segmentation and targeting, competition analysis, market performance analysis, and store location choice."
BUS133,"4 units, lecture, 3 hours; term paper, 3 hours. prerequisite(s): bus 020 with a grade of b or better, stat 004 with a grade of b or better or stat 008 with a grade of b or better or stat 010 with a grade of b or better or econ 101 with a grade of b or better; econ 003 with a grade of b or better or econ 003h with a grade of b or better; or a score of 3 or higher on the advance placement exam in statistics;  or consent of instructor. covers materials from bus 106/econ 134 and bus 132. examines investment and operational decisions of individuals and companies. covers relationship between investment decisions, wealth, and risk tolerance. addresses operational decisions from the perspective of an entrepreneur or manager. pursues strategies that personally appeal rather than investments that maximize shareholder value.  satisfactory(s) or no credit(n/c) is not available.   credit is awarded for one of the following  bus 133, or bus 106/econ 134 and bus 132."
BUS137,"4 units, lecture, 3 hours; extra reading, 2 hours; activity, 1 hour. prerequisite(s): bus 133 with a grade of c- or better or bus 132 with a grade of c- or better; bus 106 with a grade of c- or better or econ 134 with a grade of c- or better. covers option market characteristics, option pricing theories, and speculative strategies used in local, national, and international markets.  analyzes other derivatives instruments including futures, forwards, and swaps.  discusses empirical uses of securities data related to derivatives markets."
BUS145,"4 units, lecture, 3 hours; activity, 3 hours. prerequisite(s): bus 107;  or consent of instructor. a general survey of the dynamics and effective management of teams within organizations. explores the nature of teamwork through the creation of shared goals and actions to facilitate organizational effectiveness. addresses the roles of individuals in teams. enhances theoretical knowledge of teams through critical application in real-team situations."
BUS165A,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): bus 021 or equivalent. in-depth study of financial accounting theory and practice. develops an understanding of accounting concepts and generally accepted accounting principles and the ability to apply this technical knowledge to solve accounting problems. topics include principal financial statements and accounting and valuation of various assets."
BUS166,"4 units, lecture, 3 hours;  extra reading, 2 hours; projects, 1 hour. prerequisite(s): bus 101, bus 108, or equivalents. study of the concepts and techniques in the design and implementation of accounting information systems within companies' operating environments. emphasis is on the effects of the computer on these systems."
BUS190,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): upper-division standing; consent of instructor and program chair. a project to be undertaken under faculty supervision. course is repeatable to a maximum of 12 units."
CBNS106,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a and biol 005b with grades of ""c-"" or better, chem 001a, chem 001b, chem 001c; or consent of instructor. an introduction to cellular, organismal, and behavioral neuroscience for science majors. topics include structure and functions of the brain, neurons, and synapses; sensory systems and perception; control of movement; neurobiology of hormones and sexual behavior; biorhythms; learning; memory; and psychoses."
CBNS109,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 102. introduction to mechanisms that cause a heritable change in phenotype without a change in the genetic code.  covers dna modifications, histone modifications, and noncoding rnas that influence the expression, maintenance, and inheritance of traits.  discusses impacts of epigenetics on multicellular life such as learning, memory, disease, and crosstalk with environments.     cross-listed with bpsc 109."
CBNS121,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cbns 106 or consent of instructor. a study of the development of nervous systems. examines the cellular and molecular mechanisms of neural development and the determinants of cell birth and death, axonal pathfinding, neuronal connections, and development of neural systems underlying behavior. cross-listed with psyc 121."
CBNS124,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cbns 106 with a grade of c- or better;  or consent of instructor. a study of the structure and function of motor and sensory systems in vertebrate and invertebrate nervous systems.     cross-listed with psyc 124."
CBNS125,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cbns 120/psyc 120.  examines synaptic neurotransmitter systems, mechanisms, and pharmacological agents and effects, which are fundamental to neural information processing. cross-listed with psyc 125."
CBNS126,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): cbns 106 or psyc 110;  or consent of instructor. covers mechanisms of learning and memory across levels of analysis including genetic, neuronal, systems, and theory.  topics include the multiple memory systems, memory consolidation, working memory, emotional memory, recognition memory, spatial memory, and human amnesia.     cross-listed with psyc 126."
CBNS190,"1 to 4 units, individual study, 3 to 12 hours. prerequisite(s): upper-division standing; consent of instructor and department chair. individual study to meet special curricular needs. grading basis to be determined in consultation with the instructor and department chair.  course is repeatable to a maximum of 12 units."
CBNS194,"1 to 2 units, individual study, 3 to 6 hours. prerequisite(s): consent of instructor. individual reading under faculty direction. course is repeatable to a maximum of 4 units."
CMDB201,"4 units, lecture, 3 hours; seminar, 1 hour. prerequisite(s): bch 110a or bch 110b or equivalent (may be taken concurrently); biol 102 or equivalent; biol 107a or equivalent; graduate standing. covers the structure and inheritance of genetic material, the regulation of gene expression at the cellular and molecular level including molecular mechanisms for regulation of gene transcription, posttranscriptional regulation at the level of messenger rna stability, processing, editing and translation, methods for gene mapping, and positional cloning. cross-listed with biol 201."
CMDB250,"1 to 2 units, seminar, 1 to 2 hours. prerequisite(s): graduate standing. oral presentations and intensive small-group discussion of selected topics in the area of special competence of each participant. content emphasizes recent advances in the topic area and varies accordingly. graded satisfactory (s) or no credit (nc). course is repeatable."
CHE117,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): che 116, che 120; or consent of instructor covers fundamental concepts and practical techniques for designing equipment based on equilibrium stage processes. explores gas-liquid absorption, distillation, liquid-liquid extraction, solid-liquid extraction, humidification, drying, and membrane processes."
CHE124L,"2 units, laboratory, 6 hours. prerequisite(s): che 124 or consent of instructor. laboratory practices in biochemical engineering. determination of microbial kinetics and biologically mediated reactions, oxygen transfer coefficients. batch and continuous culturing, air and media sterilization, bioseparations."
CHE160B,"3 units, laboratory, 6 hours; discussion, 1 hour. prerequisite(s): che 116; che 122. consists of laboratory exercises in chemical engineering. includes experiments in physical measurements, heat transfer, reactor analysis, and chemical kinetics. emphasizes experimental design, analysis of results, and preparation of engineering reports."
CHE190,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): upper-division standing; consent of instructor and department chair. individual study to meet special curricular needs. course is repeatable to a maximum of 9 units."
CEE135,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): chem 008a and chem 08la or chem 08ha and chem 08hla; phys 040c or phys 040hc.  an introduction to the synthesis, structure, properties, and performance of modern materials.  topics include the science of materials, bonding and structure, the strength of materials, electrons in materials, semiconductors, superconductors, and optical properties of materials."
CEE200,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s):engr 118; graduate standing; or consent of instructor. for cee 200 online section: enrollment in the online master-of-science in engineering program. problem-solving techniques for basic engineering systems including heat and mass transfer, coupled reactions, fluid flow potential, and control."
CEE206,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): che 130 or enve 130; graduate standing; or consent of instructor. for cee 206 online section; enrollment in the online master-in-science in engineering program. application of the laws of thermodynamics to phase and chemical reaction equilibrium. introduction to statistical thermodynamics, molecular simulations, and the evaluation of thermodynamic properties from molecular simulations."
CEE246,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): che 100 or me 100a; graduate standing; or consent of instructor. an introduction to colloid systems, capillarity, surface tension and contact angle, and micelles and microemulsions. also covers adsorption and desorption at the solid-liquid interface, electrostatic forces, and colloid stability."
CHEM001,"2 units, lecture, 2 hours. prerequisite(s): none. provides problem-solving methods to succeed in general chemistry. offered online only.  graded satisfactory (s) or no credit (nc).   credit is awarded for one of the following  chem 001 or chem 001w. credit is not award to chem 001 if credit has been awarded to chem 002a."
CHEM001A,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): concurrent enrollment in   chem 01la; math 005a with a grade of c- or better or math 006a with a grade of c- or better or chem 001w with a grade of s or better or chem 001 with a grade of s or better or math 007a with a grade of c- or better or math 007b with a grade of c- or better or math 009a with a grade of c- or better or math 009b with a grade of c- or better or math 006b with a grade of c- or better or math 009c with a grade of c- or better; or a score of 3, 4, or 5 on the college board advanced placement chemistry examination or advanced placement calculus examination or a passing score on the california chemistry diagnostic test or a score on the mathematics advisory exam sufficient for placement in math 007a or math 009a. an introduction to the basic principles of chemistry. instructional methods are either in-person lectures or virtual online lectures.     credit is awarded for one of the following  chem 001a,  chem 002a, or chem 01ha."
CHEM002A,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): concurrent enrollment in   chem 02la; math 006b with a grade of c- or better or math 009a with a grade of c- or better or math 009b with a grade of c- or better or math 009c with a grade of c- or better; or a score of 3, 4, or 5 on the college board advanced placement chemistry examination or advanced placement calculus examination or a passing score on the california chemistry diagnostic test or a score on the mathematics advisory exam sufficient for placement in math 009a.;  restricted to major(s) chemistry. an introduction to the basic principles of chemistry including atomic structure, quantum mechanics, molecular bonding, and stoichiometry. designed for chemistry majors.     credit is awarded for one of the following  chem 002a,  chem 001a, or chem 01ha."
CHEM008C,"3 units, lecture, 3 hours. prerequisite(s): concurrent enrollment in   chem 08lc; chem 008b with a grade of c- or better, chem 08lb with a grade of c- or better or chem 08hb with a grade of c- or better, chem 08hlb with a grade of c- or better. covers modern organic chemistry and chemical biology including reactivity and synthesis. also includes reaction mechanisms and the chemistry of carbohydrates, lipids, nucleic acids, amino acids, and proteins.     credit is awarded for one of the following  chem 008c or chem 08hc."
CHEM01LA,"1 unit, laboratory, 3 hours. prerequisite(s): concurrent enrollment in chem 001a; math 005a with a grade of c- or better or math 006a with a grade of c- or better or chem 001w with a grade of s or better or chem 001 with a grade of s or better or math 007a with a grade of c- or better or math 007b with a grade of c- or better or math 009a with a grade of c- or better or math 009b with a grade of c- or better or math 006b with a grade of c- or better or math 009c with a grade of c- or better; or a score of 3, 4, or 5 on the college board advanced placement chemistry examination or advanced placement calculus examination or a passing score on the california chemistry diagnostic test or a score on the mathematics advisory exam sufficient for placement in math 007a or math 009a. an introduction to laboratory principles and techniques related to lecture topics in chem 001a. credit is awarded for one of the following chem 01la, chem 02la, or chem 1hla."
CHEM01LB,"1 unit, laboratory, 3 hours. prerequisite(s): concurrent enrollment in   chem 001b; chem 001a with a grade of c- or better or chem 01ha with a grade of c- or better or chem 01la with a grade of c- or better or chem 1hla with a grade of c- or better or chem 002a with a grade of c- or better or chem 02la with a grade of c- or better. an introduction to laboratory principles and techniques related to lecture topics in chem 001b.     credit is awarded for one of the following  chem 01lb,  chem 02lb, or chem 1hlb."
