courseNumber,description
BCH230P,"2 units, lecture, 1 hour; discussion, 1 hour. prerequisite(s): bch 100 or bch 100h or bch 110a, bch 110b or bch 110ha, bch 110hb;  graduate standing. addresses advances in a particular field of biochemistry by analysis of the recent literature.  e.   structure of biological molecules;  f.   enzyme catalysis;  g.   glycobiochemistry;  h.   membrane biochemistry;  i.   cytoskeleton and extracellular matrix;  j.   metabolism;  k.   regulation of chromatin structure and transcription;  m.   genome stability;  n.   regulation of protein synthesis;  o.   signal transduction;  p.   emerging topics in biochemistry and molecular biology;  q.   cell cycle regulation;  r.   biochemistry of stress responses;  s.   biochemistry of development and aging;  t.   molecular basis of genetic diseases;  u.   genomics and proteomics;  w.   stem cell biology.   course is repeatable."
BCH251,"2 units, seminar, 1 hour, discussion, 1 hour. prerequisite(s): bch 250; graduate standing. oral reports by graduate students on current research topics in biochemistry."
BCH252,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing. oral reports by faculty, graduate students, and visiting scholars on current research topics in biochemistry. graded satisfactory (s) or no credit (nc). course is repeatable."
BCH261,"1 unit, seminar, 1 hour. prerequisite(s): graduate standing or consent of instructor. oral reports by visiting scholars, faculty, and students on current research topics in genetics, genomics, and bioinformatics. graded satisfactory (s) or no credit (nc). course is repeatable. cross-listed with biol 261, bpsc 261, entm 261, plpa 261, and gen 261."
BCH289,"2 units, seminar, 2 hours. prerequisite(s): graduate standing or consent of instructor. an interdisciplinary seminar consisting of student presentations and discussion of selected topics in neuroscience. content and instructor(s) vary each time course is offered. students who present a seminar receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable. cross-listed with biol 289, chem 289, entm 289, nrsc 289, and psyc 289."
BCH290,"1 to 4 units, research, 3 to 12 units. prerequisite(s): graduate standing in biochemistry; consent of instructor and graduate advisor. experimental or literature studies on specifically selected topics undertaken under the direction of a staff member. course is repeatable."
BCH291,"1 to 6 units, prerequisite(s): graduate standing in biochemistry or consent of instructor. a program of studies designed to advise and assist candidates who are preparing for examinations. open to m.s. and ph.d. candidates; does not count toward the unit requirement for the m.s. degree. graded satisfactory (s) or no credit (nc). repeatable up to 6 units for pre-master's students and up to 12 units for ph.d. students prior to successful completion of the qualifying examination."
BCH297,"1 to 6 units, research, 3 to 36 hours. prerequisite(s): graduate status in biochemistry or consent of instructor. directed research in preparation for dissertation projects performed prior to advancement to candidacy. graded satisfactory (s) or no credit (nc).  course is repeatable."
BCH299,"1 to 12 units, research, 3 to 36 hours. prerequisite(s): graduate status in biochemistry or consent of instructor.  original research in an area selected for the advanced degree.  graded satisfactory (s) or no credit (nc).  course is repeatable."
BIEN010,"4 units, lecture, 3 hours; discussion, 1 hour; practicum, 3 hours. provides an overview of the various aspects of bioengineering and introduces bioengineering design. illustrates the application of engineering principles for the design of various products to health science industries. covers diagnostic instruments, artificial organs, biotechnology, and cell and tissue engineering. covers engineering ethics."
BIEN111,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): math 009c or math 09hc;  or consent of instructor. covers topics in applied statistical methods typically used in bioengineering and biomedicine including random variables and probability distributions; statistical inference and null hypothesis significance testing, and bayesian and nonparametric statistical testing. also covers research design/execution topics relevant to bioengineering applications including factorial experimental design and ethical conduct of research.     credit is awarded for one of the following bien 111 or bien 211."
BIEN115,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bien 110; consent of instructor is required for non-majors. analyzes engineering aspects of physiological systems. covers the nervous system, muscular system, respiratory system, renal system, and endocrine system based on fundamental principles of material transport across biological membrane."
BIEN155,"2 units, laboratory, 3 hours; discussion, 1 hour. prerequisite(s): concurrent enrollment in bien 175a or a grade of “c-“or better in bien 175a; bien 101, bien 125. laboratory experience in cell culture, bioreactors, optical techniques, array techniques, and separation and purification methods."
BIEN168,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a, biol 05la or cs 009a or cs 010a or math 010b or ee 020a or math 045 or math 046;  or consent of instructor. introduces numerical techniques for bioengineering phenomena. topics include biomedical data handling; linear and nonlinear fitting of biological data; iterative solutions to nonlinear and transcendental biomedical problems; stochastic and deterministic models of biology; system level modeling of physiology; and basics of bioinformatic techniques."
BIEN175A,"2 units, lecture, 1 hour; practicum, 3 hours. prerequisite(s): bien 010 with a grade of c- or better; bien 155 with a grade of c- or better, may be taken concurrently, bien 130l with a grade of c- or better;  restricted to class level standing of senior;  restricted to major(s) bioengineering, bioengineering bs + ms. covers the entire design process for bioengineering. explores intellectual property, quality control, and regulatory and ethical considerations. requires working in small teams effectively to prepare formal engineering reports, web pages notebooks, oral presentations, a project demonstration, and a business plan."
BIEN197,"1 to 4 units, laboratory, 3 to 12 hours. prerequisite(s): consent of instructor and bioengineering undergraduate program advisor. directed research on a topic relevant to bioengineering.  requires a final written report.
 graded satisfactory (s) or no credit (nc). course is repeatable."
BIEN223,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): course work in basic biology, calculus, chemistry, and physics; graduate standing or consent of instructor. bien 223 online section: enrollment in the online master-in-science in engineering program. provides a bioengineering approach to the physiological properties and interactions of various mammalian organ systems.  covers the nervous, muscular, cardiovascular, respiratory, and renal systems. emphasizes the physical and engineering principles governing these systems by applying quantitative and analytical approaches. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor."
BIEN224,"4 units, lecture, 2 hours; discussion, 1 hours; practicum, 3 hours. prerequisite(s): graduate standing or consent of instructor. bien 224 online section; enrollment in the online master-in-science in engineering program. emphasizes biophysical and engineering concepts intrinsic to specific topics at the cellular and molecular level.  includes receptor-ligand dynamics in cell signaling and function; dna replication and rna processing; cellular and protein sorting; control of gene expression; membrane structure, transport and traffic; biological signal transduction; and mechanics of cell division. may be taken satisfactory (s) or no credit (nc) with consent of instructor and graduate advisor. cross-listed with mse 246."
BIEN234,"4 units, lecture, 4 hours. prerequisite(s): bien 110, bien 140a, biol 005a, and biol 005b, or equivalents; graduate standing or consent of instructor. introduces advanced biomechanics and mechanobiology of skeletal tissues including bone and cartilage. provides an understanding of structure-function relationship in biological tissues. focuses on bone and cartilage regenerative engineering approaches based on scaffolds, stem cells, and mechanotransduction."
BIEN260,"1 or 2 units, seminar, 1 hour; term paper, 0 or 3 hours. prerequisite(s): graduate standing or consent of instructor. focuses on advanced technologies in bioengineering studies, such as spectroscopy, microscopy, magnetic resonance imaging, computed tomography, ultrasonography, and biosensors.  students who submit a term paper receive credit for 2 units; other students receive credit for 1 unit. students who submit a term paper receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
BIEN261,"1 or 2 units, seminar, 1 hour; term paper, 0 or 3 hours. prerequisite(s): graduate standing or consent of instructor. focuses on advanced methods of analysis of biological transport phenomena such as drug distribution, microcirculation, membrane transport, and transport in organs and tissues.  students who submit a term paper receive credit for 2 units; other students receive credit for 1 unit. students who submit a term paper receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
BIEN262,"1 or 2 units, seminar, 1 hour; term paper, 0 or 3 hours. prerequisite(s): graduate standing or consent of instructor. focuses on current research in cell signaling and control, including g protein-coupled receptors, signal transduction and cytoskeletal dynamics, and cell adhesion and cell metabolism. students who submit a term paper receive credit for 2 units; other students receive credit for 1 unit. students who submit a term paper receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
BIEN265,"1 or 2 units, seminar, 1 hour; term paper, 0 or 3 hours. prerequisite(s): graduate standing or consent of instructor. focuses on advanced theory, technology, and applications of biomedical optical imaging.  addresses novel sources of optical contrast, current developments in optical imaging instrumentation, and recent advances in their  application to bioengineering. students who submit a term paper receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable."
BIEN272,"1 to 2 units, seminar, 1 to 2 hours; term paper, 0 to 3 hours. prerequisite(s): graduate standing or consent of instructor. focuses on advanced biomaterials and tissue engineering for medical applications. explores the design, processing, characterization, and evaluation of biomaterials. examines current development in novel materials and recent advances in their applications in tissue engineering, drug delivery, gene therapy, cell therapy, medical devices, and implants. students who present a seminar or submit a term paper receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable as content changes to a maximum of 30 units. cross-listed with mse 280."
BIEN273,"2 units, seminar, 2 hours. prerequisite(s): graduate standing or consent of instructor focuses on advanced regenerative engineering and biomechanics in the skeletal system. examines biomechanics of skeletal system at the tissue and cell levels utilizing molecular biology approaches. develops and implements regenerative methodologies for repairing damaged skeletal tissues by a thorough understanding in mechanobiology. students who present a seminar or submit a term paper receive a letter grade; other students receive a satisfactory (s) or no credit (nc) grade. course is repeatable to a maximum of 30 units."
BIEN286,"1 unit, colloquium, 1 hour. prerequisite(s): graduate standing or consent of instructor. colloquia on current research topics in bioengineering and other related fields. presented by faculty members and visiting scientists. graded satisfactory (s) or no credit (nc). course is repeatable."
