courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
ANTH290,10195,DIRECTED STUDIES,Anthropology,"1 to 6 units, independent study by graduate students under supervision of a particular faculty member. graded satisfactory (s) or no credit (nc). course is repeatable."
ANTH291,10208,INDIVIDUAL STUDIES IN COORDINATED AREAS,Anthropology,"1 to 6 units, prerequisite(s): graduate standing. a program of study designed to advise and assist candidates who are preparing for doctoral examination. the following rules apply: 1) a student may take up to 12 units for the basic requirements; 2) a student may take up to 8 units for the comprehensive requirements. graded satisfactory (s) or no credit (nc). course is repeatable."
ANTH292,35189,CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,Anthropology,"1 to 4 units, each anth 292 course will be taken concurrently with some 100-series course, but on an individual basis. it will be devoted to completion of a graduate paper based on research or criticism related to the 100-series course. faculty guidance and evaluation will be provided throughout the quarter. satisfactory (s) or no credit (nc) grading is not available. course is repeatable."
ANTH297,10240,DIRECTED RESEARCH,Anthropology,"1 to 6 units, individual research by graduate students directed by a particular faculty member. graded satisfactory (s) or no credit (nc). course is repeatable."
ANTH299,10256,RESEARCH FOR THESIS OR DISSERTATION,Anthropology,"1 to 12 units, field training and directed research in preparation for and completion of doctoral dissertation. graded satisfactory (s) or no credit (nc). course is repeatable."
ANTH301,36562,DIRECTED STUDIES IN THE TEACHING OF ANTHROPOLOGY,Anthropology,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing; consent of instructor. discusses bibliography and research and teaching techniques used in the instruction of anthropology. covers how to lead discussion sections and relate student experience to anthropological problems. graded satisfactory (s) or no credit (nc). course is repeatable."
ARBC001,32303,ELEMENTARY ARABIC,Arabic Language,"4 units, lecture, 4 hours.  prerequisite(s): student must take the arabic placement examination.  an introduction to modern standard arabic. focuses on the development of the four language skills: listening, speaking, reading, and writing. also explores aspects of arabic cultures.  classes conducted primarily in arabic."
ARBC003,33036,ELEMENTARY ARABIC,Arabic Language,"4 units, lecture, 4 hours. prerequisite(s): arbc 002 with a grade of ""c-"" or better or equivalent or a sufficiently high test score on the arabic placement examination as determined by the department faculty. an introduction to modern standard arabic. focuses on the development of the four language skills: listening, speaking, reading, and writing. also explores aspects of arabic cultures. classes conducted primarily in arabic."
ARBC004,32304,INTERMEDIATE ARABIC,Arabic Language,"4 units, lecture, 4 hours.  prerequisite(s): arbc 003 with a grade of ""c-"" or better or equivalent or a sufficiently high test score on the arabic placement examination as determined by the department faculty. an introduction to intermediate modern standard arabic. builds upon current knowledge levels of grammar and vocabulary to gain greater fluency and accuracy in listening, speaking, reading, and writing. classes conducted in arabic."
ART001,28564,BEGINNING DRAWING AND DESIGN,Art,"4 units, lecture, 2 hours; studio, 4 hours. introduction to the materials, techniques, structure, and expressive properties of drawing and design. must attend the first day of class for studio orientation and instruction to avoid being dropped from the class."
ART002,28566,BEGINNING PAINTING AND DESIGN,Art,"4 units, lecture, 2 hours; studio, 4 hours. introductory course in the media, techniques, structural, and expressive properties of painting and design.  must attend the first day of class for studio orientation and instruction to avoid being dropped from the class."
ART003,10401,INTRODUCTION TO PHOTOGRAPHIC PROCESSES,Art,"5 units, lecture, 3 hours; studio, 4 hours. introduction to basic principles of photography as fine art. addresses a range of technological approaches to digital image capture and printing. explores historical and contemporary approaches to creating meaningful photographs. must attend the first day of class; see schedule notes for attendance policy."
ART005,20943,BEGINNING SCULPTURE AND THREE-DIMENSIONAL DESIGN,Art,"4 units, lecture, 3 hours; studio, 3 hours. an introduction to tools and assembly techniques working with wood, plaster, metal, and found objects. provides an understanding of 3d qualities including volume, surface, and scale as well as an overview of twentieth-century art movements and contemporary sculpture strategies. see schedule notes for attendance policy."
ART006,36315,INTRODUCTION TO CONTEMPORARY CRITICAL ISSUES IN ART,Art,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. examines basic principles and methodologies of theory as applied to the interpretation and creation of works of art. includes screenings.     cross-listed with mcs 006."
ART010,28570,INTRODUCTION TO VIDEO AND TIME-BASED EXPERIMENTATION,Art,"4 units, lecture, 3 hours; studio, 3 hours. prerequisite(s): none. introduction to time-based media including video, sound, performance, and installation as studio art practice. builds aesthetic, conceptual, and technical skills for the creation of video and time-based works. addresses work of contemporary artists and issues. emphasizes experimental practical techniques. must attend the first day; see schedule notes for attendance policy."
ART032,26956,ART STUDIO ONE,Art,"4 units, lecture, 3 hours; studio, 3 hours. prerequisite(s):  restricted to major(s) art (studio). introduces art majors to the importance of interdisciplinary work. includes independent projects, critical analysis in a group critique situation, exhibition preparation, and considerations of presentation of their work through written and spoken language. prepares art majors for upper division coursework."
ART066,38024,INTRODUCTION TO THREE-DIMENSIONAL DIGITAL MODELING,Art,"4 units, lecture, 3 hours; laboratory, 3 hours; individual study, 2 hours. prerequisite(s): none. covers basic skills necessary to create three-dimensional digital images and models. emphasizes techniques for polygon and curved-surface modeling and photorealistic image creation through material shading, texturing, and lighting. introduces basic scripting methods to create complex models and images with autodesk maya or equivalent."
ART110,36317,INTERMEDIATE PAINTING,Art,"4 units, lecture, 2, hours; studio, 4 hours. prerequisite(s): art 001 and art 002 or equivalent and consent of instructor. subject: primarily still-life, landscape and figure. purpose: a fuller understanding of the technical aspects of painting.  method: studio exercises, in-studio lectures and outside assignments. course may be repeated for credit to a total of 12 units."
ART123,38021,CHROMALOGUE,Art,"4 units, seminar, 3 hours; individual study, 3 hours. prerequisite(s): art 001 or art 002 or art 003 or art 005 or art 010;  restricted to class level standing of junior, or  senior;  restricted to major(s) art (studio). introduces philosophical, theoretical, scientific histories related to the understanding and development (use) of color in aesthetic production alongside material history of chemical industry in the 19th and 20th centuries. addresses recent discoveries of color and technology. focuses on color as material and perception. explores fluidity in meaning, production, and experience."
ART132,26959,ART STUDIO TWO,Art,"4 units, lecture, 3 hours; studio, 3 hours. prerequisite(s): art 006/mcs 006, art 032, upper-division standing in art; or consent of instructor. prepares junior art majors for their senior course work. emphasizes interdisciplinary work, independent projects, critical analysis in a group critique situation, exhibition preparation, and writing a preliminary artist statement. letter grade only."
ART140,38332,INTERMEDIATE ANALOG PHOTOGRAPHY,Art,"4 units, lecture, 3 hours; studio, 4 hours. prerequisite(s): art 003 or art 071k;  or consent of instructor. introduction to analog film processing and black and white printing.  focuses on developing individual creative approaches in analog photography. some analog film cameras available for rental, or students may provide their own cameras.   course is repeatable to a maximum of 12 units."
ART151,38022,INTERMEDIATE VIDEO AND TIME-BASED EXPERIMENTATION,Art,"4 units, lecture, 3 hours; studio, 3 hours. prerequisite(s): art 010;  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. develops conceptual methods and experimental practical techniques for making video and time-based artworks through assignments and self-directed projects. includes support of production through critique, discussion, and exposure to contemporary artists and theorists. explores time-based media's expanding critical role in contemporary art and society.   course is repeatable to a maximum of 8 units."
ART190,35347,SPECIAL STUDIES,Art,"1 to 5 units, prerequisite(s): to be taken with the consent of the chair of the department as a means of meeting special curricular problems. total credit may not exceed 8 units."
ART285,10447,PEER CRITIQUE,Art,"4 units, seminar, 3 hours, research, 3 hours. prerequisite(s): graduate standing or consent of instructor. provides a serious and sophisticated environment for peer critique of studio production.  involves readings, screenings, and field trips. course is repeatable."
ART302,33418,TEACHING PRACTICUM,Art,"1 to 4 units, practicum, 2 to 8 hours; consultation, 1 to 4 hours. prerequisite(s): graduate standing. provides supervision of teaching in undergraduate art courses. graded satisfactory (s) or no credit (nc). course is repeatable."
AHS010S,38014,PHOTOGRAPHY & THE BODY,Art History,"5 units, lecture, 3 hours; discussion, 1 hour; individual study, 3 hours. prerequisite(s): none. explores significant themes and topics from the history of art and architecture around the world. concentrates on particular subtopics to be announced in the schedule of classes. course is repeatable as topics change to a maximum of 24 units. credit is awarded for only one of ahs 010 or ahs 010s as topics change."
AHS017A,37767,HISTORY OF WESTERN ART: PREHISTORIC TO BYZANTINE,Art History,"4 units, lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. prerequisite(s): none. a survey of the visual arts of the ancient near east and egypt, the greek world, and the roman and byzantine empires. topics include the growth of urbanism, art as an expression of religious and political beliefs, and cultural contact as a source of artistic change. credit is awarded for only one of ahs 017a or ahs 17ha."
AHS025,37766,ART OF MESOAMERICA,Art History,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. surveys the art and architecture of mesoamerica from the olmec to the fall of the aztec capital in 1521. focuses on empire and trade, religion and astronomy, writing systems and the history the book, and cross-cultural interaction through emphasizing the close analysis of artworks and historical texts."
AHS115,38303,MODERN AND CONTEMPORARY ART OF LATIN AMERICA,Art History,"4 units,  lecture, 3 hours; extra reading, 3 hours. prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. a study of latin american art from circa 1900 to the present. considers national and regional histories and artistic trajectories beginning with the advent of an artistic avant-garde. investigates the relationships between european and latin american developments. cross-listed with lnst 115."
AHS171,38011,"THE CHURCH, THE COURT, AND THE PEOPLE:  ART IN SEVENTEENTH-CENTURY EUROPE",Art History,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. a study of the dominant trends and figures of italian, french, spanish, flemish, and dutch baroque art. includes the works of caravaggio, bernini, velazquez, and rembrandt. emphasizes the development of illusionistic ceiling decoration, the theoretical basis of baroque art, and the sacred and political uses of art."
AHS175,38009,INDUSTRY AND ALIENATION: LATE NINETEENTH-CENTURY AMERICAN ART,Art History,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. a study of american art from 1848 to 1900. focuses on social, political, and artistic issues related to industrialization. explores themes in visual culture; the construction of an american identity;  the role of fine arts in american society; and the tensions of class, gender, race, and ethnicity in american art."
AHS180,38010,MODERN EUROPEAN ART I: NINETEENTH-CENTURY,Art History,"4 units, lecture, 3 hours; individual study, 3 hours. prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior. surveys painting and sculpture in europe from the french revolution to the franco-prussian war. introduces the ideas and concepts of modern european art. traces artistic developments from neoclassicism to the emergence of impressionism in a broad cultural, social, and political context."
AHS189E,34870,TOPICS IN CONTEMPORARY ART,Art History,"4 units, lecture, 3 hours, individual study, 3 hours. prerequisite(s): sophomore or junior or senior standing; or consent of instructor. addresses selected issues, movements, and artists of importance to international art history since the 1960s. e. art since conceptual art. each segment is repeatable as its topics change to a maximum of 12 units."
AHS192,10037,JUNIOR AND SENIOR SEMINAR IN ART HISTORY,Art History,"4 units, seminar, 3 hours; individual study, 3 hours. prerequisite(s): upper-division standing in art history or art history administrative studies. critical study of selected topics in the history of art and its methods. topics vary. course is repeatable to a maximum of 12 units."
AHS251A,10044,PROSEMINAR IN HISTORIOGRAPHY,Art History,"4 units, seminar, 3 hours; research, 3 hours. prerequisite(s): graduate standing or consent of instructor. an introduction to the history of the discipline of art history. covers historiographic traditions from antiquity to the present. includes instruction in preparing a conference paper as an element of professional training."
AHS260,38013,SEMINAR IN LATIN AMERICAN ART,Art History,"4 units, seminar, 3 hours; research, 2 hours; term paper, 1 hour. prerequisite(s): graduate standing or consent of instructor. selected topics in the history and theory of latin american art from the european conquest to the present. course is repeatable."
AHS280,10045,"SEMINAR IN RESEARCH, CRITICAL ANALYSIS, AND THESIS WRITING",Art History,"4 units, seminar, 3 hours, research 3 hours. prerequisite(s): graduate standing or consent of instructor. covers advanced research that helps in conceptualizing a thesis topic, organizing and structuring material, and in writing one chapter of the thesis. examines research in different fields of the history of art. explores scholarly issues from a diversity of specializations. course is repeatable."
AHS292,36806,CONCURRENT ANALYTICAL STUDIES,Art History,"1 to 4 units, research, 3 hours to 12 hours. prerequisite(s): graduate standing and consent of instructor. to be taken concurrently with a 100-series course, but on an individual basis. it will be devoted to research, criticism, and written work of graduate order commensurate with the number of units elected. graded satisfactory (s) or no credit (nc). may be repeated for credit."
AST022,37678,INTRODUCTION TO JAPANESE FILM,Asian Studies,"4 units, lecture, 3 hours; discussion, 1 hour; screening, 2 hours. an introduction to major genres, styles, and creators in the japanese film world. focuses on formal analysis and critical writing about film. works studied range from the samurai epics of kurosawa to recent anime. all films have subtitles. no previous knowledge of japanese language or culture required.     cross-listed with jpn 022, and mcs 022."
AST047,34400,INTRODUCTION TO KOREAN FILM,Asian Studies,"4 units, lecture, 3 hours; screening, 2 hours; discussion, 1 hour. an introduction to the major directors and films of korea. covers the genres and periods of works produced from the 1960s to the present. all films have english subtitles. no previous knowledge of korean language or culture required.     cross-listed with kor 047, and mcs 047."
AST048,37659,CHINESE CINEMA,Asian Studies,"4 units, lecture, 3 hours; screening, 3 hours. prerequisite(s): none. a study of selected films from china and taiwan focusing on cultural context. includes what to look for in these films; the interrelations with theater, photography, and literature; and how these films are understood as an art form.     cross-listed with chn 048, cplt 048, and mcs 048."
AST063,37685,READING SOUTHEAST ASIAN STORIES,Asian Studies,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): none. an introduction to the modern short story in southeast asia with a focus on literariness and the act of reading. readings are in translation; classes conducted in english. course is repeatable as content changes to a maximum of 8 units. cross-listed with cplt 063, and seas 063."
AST090,10481,SPECIAL STUDIES,Asian Studies,"1 to 5 units, individual study, 3 to 15 hours. to be taken with the consent of the chair of the program as a means of meeting special curricular problems. course is repeatable."
AST112,35916,MODERN KOREAN LITERATURE,Asian Studies,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. a study of modern korean literature from the colonial era to the present. topics include colonialism; cultural influence and exchange; gender, family and sexuality; nation and nationalism; confucian tradition and patriarchal culture; and modernization and capitalism. cross-listed with kor 112."
AST136,35869,FAMILY AND GENDER IN THE CHINESE SHORT STORY,Asian Studies,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): upper-division standing or consent of instructor. examines a broad array of short stories from the tang to the qing dynasties (approximately ninth to eighteenth century). investigates love, marriage, family, gender dynamics, and the representation of women in chinese literature. no knowledge of chinese required. cross-listed with chn 136."
AST137,38317,CONTEMPORARY CHINESE LITERATURE IN TRANSLATION,Asian Studies,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. an introduction to important works of fiction, drama, poetry, and reportage from the mid-twentieth century to the present. includes readings from mainland china, as well as writings from taiwan and other overseas communities.     cross-listed with chn 137.  credit is awarded for one of the following  chn 137,  ast 137, or chn 110e."
AST168,38321,JAVANESE GAMELAN ENSEMBLE: BEGINNING,Asian Studies,"2 units,  studio, 6 hours. prerequisite(s): upper-division standing and consent of instructor. study and performance of the central javanese gamelan, consisting mainly of gongs and gong-chime instruments. readings and discussions focus on javanese culture. course is repeatable. cross-listed with mus 168 and seas 168."
AST169,10485,TAIKO ENSEMBLE,Asian Studies,"1 unit, studio, 2 hours. prerequisite(s): upper-division standing or consent of instructor study and performance of japanese drumming. normally graded satisfactory (s) or no credit (nc), but students may petition the instructor for a letter grade on the basis of assigned extra work or examination. course is repeatable.. cross-listed with mus 169."
AST170,10486,RONDALLA ENSEMBLE,Asian Studies,"1 to 2 units, studio, 2 to 4 hours. prerequisite(s): upper-division standing or consent of instructor. study and performance of the filipino rondalla, an ensemble consisting of various sizes of lure-like and guitar-like instruments. discussions focus on filipino culture. cross-listed with mus 170 and seas 170. course is repeatable."
AST190,10488,SPECIAL STUDIES,Asian Studies,"1 to 5 units, individual study, 3 to 15 hours. prerequisite(s): upper-division standing or consent of instructor. to be taken with the consent of the chair of the program as a means of meeting special curricular problems. course is repeatable."
AST195,10491,CAPSTONE SENIOR THESIS,Asian Studies,"1 to 4 units, thesis, 3 to 12 hours. prerequisite(s): senior standing. thesis composition under the guidance of asian studies faculty.  required for all asian studies majors. course is repeatable to a maximum of 8 units."
BSWT001,38252,IMMERSIVE ENGLISH,Basic Writing,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): an appropriate score on the university of california analytical writing placement examination; concurrent enrollment in bswt 002 an intensive introduction to oral communication in the academic setting, focusing on academic conversation, dialogue, discussion, group-work, and presentations.  emphasizes active listening and speaking.  designed for students who need immersive instruction in english as a second language before going on to basic writing 3 (bswt 003). graded satisfactory (s) or no credit (nc)."
BSWT002,36507,ORAL COMMUNICATION,Basic Writing,"2 units, lecture, 1.5 hours; extra reading, 1.5 hours. prerequisite(s): an appropriate score on the university of california analytical writing placement examination; concurrent enrollment in bswt 001. training in oral communication for the sake of improving academic speech, comprehension, and writing in english.  includes reports, talks, academic discussions, and dialogues.  for second-language students in need of immersive training. graded satisfactory (s) or no credit (nc)."
BSWT003,25942,BASIC WRITING FOR SECOND-LANGUAGE STUDENTS,Basic Writing,"4 units, lecture, 3 hours; extra reading, 3 hours. prerequisite(s): an appropriate score on the university of california analytical writing placement exam or a satisfactory (s) grade in bswt 001; concurrent enrollment in bswt 003d or bswt 003l and bswt 004. an introductory course designed for students who need instruction in english as a second language.  helps to develop writing proficiency by means of regular written assignments and intensive individual interaction between student and instructor. students who pass the course with a grade of ""s"" should enroll in engl 004. students should be formally enrolled prior to the beginning of instruction and should attend the first meeting to avoid being dropped from the class. graded satisfactory (s) or no credit (nc)."
BSWT003L,23459,BASIC WRITING FOR SECOND-LANGUAGE STUDENTS,Basic Writing,"1 unit, laboratory, 3 hours. prerequisite(s): concurrent enrollment in bswt 003 and bswt 004. focuses on mastery of principles and applications of english grammar and idiomatic expression, as well as critical reading, which are pertinent to second-language students. graded satisfactory (s) or no credit (nc). course is repeatable as content changes to a maximum of 3 units."
BSWT004,23406,BASIC WRITING JOURNAL WORKSHOP,Basic Writing,"1 unit, activity, 3 hours. prerequisite(s): concurrent enrollment in bswt 003 and bswt 003l.  instruction in and performance of oral discourse: summaries, analyses, and original arguments. graded satisfactory (s) or no credit (nc). course is repeatable as content changes to a maximum of 3 units."
BCH010,35394,INTRODUCTION TO NUTRITION,Biochemistry,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): none. introduction to the biological basis of human nutrition in the context of plant-animal-microorganism cycles and the characteristics of different food classes. the effects of nutritional needs, food availability, and the expanding human population are discussed. students record and evaluate their own diet."
BCH015,24617,INTRODUCTION BIOCHEMISTRY LABORATORY,Biochemistry,"3 units, lecture, 1 hour; discussion, 1 hour; laboratory, 3 hours. prerequisite(s): chem 008a and chem 08la or chem 08ha and chem 08hla with grade of ""c-"" or better (chem 008a and chem 08la or chem 08ha and chem 08hla may be taken concurrently); or consent of instructor. introduces basic biochemistry wet laboratory techniques for biological samples. includes micropipetting, volumetric relationships, dilutions, ph measurement, buffer preparation, spectrophotometry, gel permeation chromatography, and ion-exchange chromatography. explores the use of molecular graphics for investigation of macromolecular structure-function relationships."
